"Erquelinnes","Erquelinnes"
"Erquelinnes-Village","Erquelinnes Village"
"Esneux","Esneux"
"Essen","Essen"
"Essene-Lombeek","Essene Lombeek"
"Etterbeek","Etterbeek"
"Eupen","Eupen"
"Evere","Evere"
"Evergem","Evergem"
"Ezemaal","Ezemaal"
"Familleureux","Familleureux"
"Farciennes","Farciennes"
"Faux","Faux"
"Fexhe-le-Haut-Clocher","Fexhe le Haut Clocher"
"Flawinne","Flawinne"
"Flemalle-Grande","Flemalle Grande"
"Flemalle-Haute","Flemalle Haute"
"Fleurus","Fleurus"
"Florée","Florée"
"Floreffe","Floreffe"
"Florenville","Florenville"
"Florival","Florival"
"Fontaine-Valmont","Fontaine Valmont"
"Forchies","Forchies"
"Vorst-Oost/Forest-Est","Vorst Oost Forest Est"
"Vorst-Zuid/Forest-Midi","Vorst Zuid Forest Midi"
"Forrières","Forrières"
"Fraipont","Fraipont"
"Frameries","Frameries"
"Franchimont","Franchimont"
"Franière","Franière"
"Froyennes","Froyennes"
"Galmaarden","Galmaarden"
"Gastuche","Gastuche"
"Gavere-Asper","Gavere Asper"
"Gedinne","Gedinne"
"Geel","Geel"
"Gembloux","Gembloux"
"Gendron-Celles","Gendron Celles"
"Genk","Genk"
"Genly","Genly"
"Gent-Dampoort","Gent Dampoort"
"Gent-Sint-Pieters","Gent Sint Pieters"
"Gentbrugge","Gentbrugge"
"Genval","Genval"
"Geraardsbergen","Geraardsbergen"
"Ghlin","Ghlin"
"Glons","Glons"
"Godarville","Godarville"
"Godinne","Godinne"
"Gontrode","Gontrode"
"Gouvy","Gouvy"
"Gouy-lez-Pieton","Gouy lez Pieton"
"Graide","Graide"
"Groenendaal","Groenendaal"
"Groot-Bijgaarden","Groot Bijgaarden"
"Grupont","Grupont"
"Haacht","Haacht"
"Haaltert","Haaltert"
"Habay","Habay"
"Hainin","Hainin"
"Halanzy","Halanzy"
"Halle","Halle"
"Ham-sur-Heure","Ham sur Heure"
"Ham-sur-Sambre","Ham sur Sambre"
"Hambos","Hambos"
"Hamoir","Hamoir"
"Hamont","Hamont"
"Hansbeke","Hansbeke"
"Harchies","Harchies"
"Harelbeke","Harelbeke"
"Haren","Haren"
"Haren-Sud/Haren-Zuid","Haren Sud Haren Zuid"
"Hasselt","Hasselt"
"Haute-Flône","Haute Flône"
"Haversin","Haversin"
"Havre","Havre"
"Heide","Heide"
"Heist","Heist"
"Heist-op-den-Berg","Heist op den Berg"
"Heizijde","Heizijde"
"Hemiksem","Hemiksem"
"Hennuyères","Hennuyères"
"Herent","Herent"
"Herentals","Herentals"
"Hergenrath","Hergenrath"
"Herne","Herne"
"Herseaux","Herseaux"
"Herstal","Herstal"
"Herzele","Herzele"
"Heusden","Heusden"
"Hever","Hever"
"Heverlee","Heverlee"
"Hillegem","Hillegem"
"Hoboken-Polder","Hoboken Polder"
"Hoeilaart","Hoeilaart"
"Hofstade","Hofstade"
"Holleken","Holleken"
"Hony","Hony"
"Houraing","Houraing"
"Hourpes","Hourpes"
"Houyet","Houyet"
"Hove","Hove"
"Huizingen","Huizingen"
"Huy","Huy"
"Iddergem","Iddergem"
"Idegem","Idegem"
"Ieper","Ieper"
"Ingelmunster","Ingelmunster"
"Izegem","Izegem"
"Jambes","Jambes"
"Jambes-Est","Jambes Est"
"Jamioulx","Jamioulx"
"Jemappes","Jemappes"
"Jemelle","Jemelle"
"Jemeppe-sur-Meuse","Jemeppe sur Meuse"
"Jemeppe-sur-Sambre","Jemeppe sur Sambre"
"Jette","Jette"
"Jurbeke","Jurbeke"
"Juslenville","Juslenville"
"Kalmthout","Kalmthout"
"Kapelle-op-den-Bos","Kapelle op den Bos"
"Kapellen","Kapellen"
"Kessel","Kessel"
"Kiewit","Kiewit"
"Kijkuit","Kijkuit"
"Knokke","Knokke"
"Koksijde","Koksijde"
"Kontich","Kontich"
"Kortemark","Kortemark"
"Kortenberg","Kortenberg"
"Kortrijk","Kortrijk"
"Kwatrecht","Kwatrecht"
"La Hulpe","La Hulpe"
"La Louvière-Centre","La Louvière Centre"
"La Louvière-Sud","La Louvière Sud"
"La Roche","La Roche"
"Labuissière","Labuissière"
"Landegem","Landegem"
"Landelies","Landelies"
"Landen","Landen"
"Landskouter","Landskouter"
"Langdorp","Langdorp"
"Le Campinaire","Le Campinaire"
"Lebbeke","Lebbeke"
"Lede","Lede"
"Leignon","Leignon"
"Leman","Leman"
"Lembeek","Lembeek"
"Lens","Lens"
"Leopoldsburg","Leopoldsburg"
"Lessen","Lessen"
"Leuven","Leuven"
"Leuze","Leuze"
"Leval","Leval"
"Libramont","Libramont"
"Lichtervelde","Lichtervelde"
"Liedekerke","Liedekerke"
"Liège-Guillemins","Liège Guillemins"
"Liège-Jonfosse","Liège Jonfosse"
"Liège-Palais","Liège Palais"
"Lier","Lier"
"Lierde","Lierde"
"Liers","Liers"
"Ligny","Ligny"
"Lillois","Lillois"
"Limal","Limal"
"Linkebeek","Linkebeek"
"Lissewege","Lissewege"
"Lobbes","Lobbes"
"Lodelinsart","Lodelinsart"
"Lokeren","Lokeren"
"Lommel","Lommel"
"Londerzeel","Londerzeel"
"Lonzée","Lonzée"
"Lot","Lot"
"Louvain-la-Neuve-Université","Louvain la Neuve Université"
"Lustin","Lustin"
"Luttre","Luttre"
"Maffle","Maffle"
